Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;1.203531;5;4.144069
2;1;1.025042;6;2.451185
3;0;-1;0;1.515427
4;2;2.250732;8;4.389081
5;0;-1;0;1.715626
6;2;0.8243011;7;2.057196
7;1;1.715953;3;2.648126
8;0;-1;0;0.8914234
9;1;1.246944;4;2.451378
10;0;-1;0;1.514554
11;2;1.002492;6;1.715748
12;1;1.158693;2;1.738271
13;2;0.9804639;9;1.604186
14;0;-1;0;3.387238
15;2;0.7324941;8;4.789948
16;1;1.693905;2;1.448416
17;0;-1;0;1.158647
18;1;0.9588714;3;2.050513


