Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;2.517048;6;3.60867
2;1;-1;3;3.83152
3;0;-1;0;3.318794
4;2;-1;5;2.249798
5;0;-1;0;2.627756
6;2;2.762073;8;2.272012
7;1;1.269752;3;1.960252
8;0;2.539485;0;2.405823
9;1;1.960511;4;2.561623
10;0;2.783525;0;1.715206
11;2;1.537108;8;3.430524
12;1;1.492714;4;2.673073
13;2;1.091682;9;1.67085
14;0;2.606431;0;1.803555
15;2;1.336467;5;2.249719
16;1;2.18296;1;4.455362
17;0;2.27226;0;1.915058
18;1;1.202628;3;3.007239


