Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;1.58208;8;11.31593
2;1;1.649049;4;3.585915
3;0;-1;0;2.919452
4;2;1.27033;4;1.939094
5;0;1.76022;0;2.160886
6;2;1.894318;4;1.778509
7;1;1.604509;3;10.95998
8;0;-1;0;1.870314
9;1;2.250901;7;2.360106
10;0;-1;0;1.983533
11;2;1.337077;7;1.399621
12;1;2.56284;5;12.65015
13;2;2.093946;8;2.250818
14;0;-1;0;1.91662
15;2;1.805039;8;2.426646
16;1;1.805239;8;2.001873
17;0;-1;0;1.58165
18;1;1.559218;8;1.804262


