Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;2.33898;4;4.076491
2;1;-1;2;2.160762
3;0;-1;0;2.405745
4;2;1.804408;3;3.786847
5;0;2.338986;1;2.18206
6;2;-1;3;2.784524
7;1;-1;2;1.915921
8;0;-1;0;2.517279
9;1;2.161044;4;1.514526
10;0;-1;0;1.158452
11;2;1.893412;3;3.227473
12;1;2.116033;2;2.828992
13;2;-1;2;5.257329
14;0;-1;0;2.405611
15;2;1.269936;5;1.91468
16;1;1.792487;2;1.937879
17;0;-1;0;1.559138
18;1;1.982823;1;1.403621


