Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;-1;8;3.620747
2;1;1.057954;5;3.063187
3;0;-1;0;1.926954
4;2;2.005579;8;1.680414
5;0;-1;0;1.84833
6;2;0.9470239;8;2.071687
7;1;1.500624;5;3.464794
8;0;-1;0;1.75992
9;1;1.125526;5;1.392644
10;0;-1;0;1.726954
11;2;1.103103;8;1.760148
12;1;1.191909;4;2.507049
13;2;0.8689905;8;1.481762
14;0;-1;0;1.660323
15;2;0.7129014;8;1.915993
16;1;2.060139;5;1.681825
17;0;-1;0;2.005513
18;1;0.8917294;5;2.083777


