Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;2.358592;4;5.882579
2;1;-1;3;10.4234
3;0;-1;0;1.759974
4;2;-1;5;7.796756
5;0;-1;0;4.277956
6;2;2.450608;6;3.920474
7;1;2.117877;2;2.316534
8;0;-1;0;2.539385
9;1;-1;2;1.403386
10;0;-1;0;1.715215
11;2;1.181589;4;2.405907
12;1;1.849758;2;2.516581
13;2;1.270149;3;1.470125
14;0;-1;0;1.158365
15;2;1.136116;3;1.648484
16;1;1.80432;1;2.584392
17;0;-1;0;1.336549
18;1;1.514877;1;2.806806


