Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;1.703393;6;4.198804
2;1;1.737692;5;6.525969
3;0;-1;0;2.784424
4;2;2.004677;7;18.39915
5;0;-1;0;3.497033
6;2;1.759756;8;5.435187
7;1;1.848939;4;2.939597
8;0;-1;0;2.940423
9;1;1.269623;4;2.851298
10;0;-1;0;5.101238
11;2;0.9578127;7;6.259488
12;1;1.826926;3;4.143196
13;2;1.782353;5;2.160631
14;0;-1;0;2.316699
15;2;1.113764;6;2.338805
16;1;1.937675;2;2.094005
17;0;-1;0;1.871238
18;1;1.38092;3;1.914294
