Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;-1;5;3.87585
2;1;2.741076;3;1.378098
3;0;-1;0;3.093749
4;2;1.092206;6;1.849394
5;0;-1;0;1.225048
6;2;1.314414;4;9.689364
7;1;2.78431;1;1.403471
8;0;-1;0;1.914114
9;1;2.539449;2;1.225026
10;0;2.206246;1;1.759927
11;2;1.448336;4;8.352317
12;1;-1;0;1.581593
13;2;1.425539;3;1.314441
14;0;-1;0;1.244822
15;2;1.536955;4;6.884029
16;1;1.938166;1;1.045613
17;0;-1;0;1.626129
18;1;1.626084;1;2.918334
