Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;1.737542;4;3.608244
2;1;2.094251;2;4.812822
3;0;-1;0;2.827938
4;2;1.894567;4;7.873064
5;0;-1;0;2.094798
6;2;1.961218;2;2.606914
7;1;2.491826;1;3.208539
8;0;-1;0;3.342102
9;1;2.049845;1;1.560069
10;0;-1;0;1.493019
11;2;1.693466;3;1.938555
12;1;2.562915;1;3.294347
13;2;1.738479;2;3.141338
14;0;-1;0;1.803972
15;2;1.804943;4;2.607263
16;1;2.516273;1;2.117133
17;0;-1;0;1.515399
18;1;1.938621;1;3.320571


