Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;-1;5;4.299275
2;1;1.759938;2;3.206836
3;0;-1;0;1.380947
4;2;1.402186;4;5.279699
5;0;-1;0;1.581509
6;2;-1;4;1.135938
7;1;-1;1;12.38243
8;0;-1;0;1.848917
9;1;2.004664;3;8.910107
10;0;-1;0;1.893101
11;2;1.2697;5;4.833848
12;1;1.603789;2;3.653131
13;2;1.849029;4;3.497426
14;0;-1;0;1.470104
15;2;-1;5;2.784626
16;1;2.38397;2;1.738461
17;0;-1;0;1.291846
18;1;2.071763;2;4.832966


