Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;2.473378;7;4.118467
2;1;-1;3;3.607745
3;0;-1;0;3.628718
4;2;2.028126;6;4.275308
5;0;-1;0;2.449432
6;2;1.62629;7;3.361795
7;1;1.782291;3;1.960971
8;0;-1;0;3.251925
9;1;2.805011;2;1.292666
10;0;-1;0;3.074778
11;2;1.738294;5;3.02704
12;1;2.07238;2;2.092608
13;2;1.782622;6;1.490199
14;0;-1;0;1.712154
15;2;2.20579;5;3.455087
16;1;2.718784;4;2.004935
17;0;-1;1;2.426941
18;1;-1;2;2.985837


