Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;-1;5;7.729851
2;1;0.7583516;1;1.581826
3;0;-1;0;1.62646
4;2;1.493337;4;5.658184
5;0;2.539288;3;3.051537
6;2;1.447435;8;1.826517
7;1;-1;2;7.930773
8;0;-1;0;2.160843
9;1;1.848847;4;3.853621
10;0;-1;0;2.004843
11;2;1.069491;10;1.024393
12;1;1.782115;6;3.396985
13;2;2.494388;8;1.425308
14;0;-1;2;1.270483
15;2;1.535856;7;1.090542
16;1;1.648399;6;2.962491
17;0;-1;0;2.427512
18;1;2.161529;8;1.514372


