Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;2.138541;7;6.983391
2;1;2.539494;3;3.34135
3;0;-1;0;2.47255
4;2;2.873451;8;2.895257
5;0;-1;0;1.53581
6;2;-1;3;7.105476
7;1;1.582309;3;4.300944
8;0;-1;0;1.692799
9;1;2.293623;4;4.031963
10;0;-1;0;1.759807
11;2;2.205052;7;2.628647
12;1;-1;4;9.805131
13;2;1.515204;6;2.696962
14;0;-1;0;1.381336
15;2;2.27268;9;3.877313
16;1;1.826443;3;1.42644
17;0;-1;0;1.960396
18;1;-1;5;8.153248


