Diffusion_Number;Diffusion_Type;Odor_Detected;Odor_Notation;Notation_Time
1;2;1.556309;9;1.671386
2;1;2.62927;3;2.047906
3;0;-1;0;6.860595
4;2;1.604832;7;2.004932
5;0;-1;0;1.916339
6;2;0.9587539;10;4.145029
7;1;1.470655;2;2.517534
8;0;-1;0;2.829791
9;1;1.202639;5;2.094712
10;0;-1;0;4.144518
11;2;0.9139922;7;2.562801
12;1;1.470599;4;1.292616
13;2;1.070042;8;1.69337
14;0;-1;0;2.094177
15;2;1.025182;10;1.470714
16;1;1.649369;2;1.158362
17;0;-1;0;8.28575
18;1;0.7799004;2;2.228703


