time;series;mass
t0;1;0.95
t1;1;0.943
t2;1;0.938
t3;1;0.933
t4;1;0.93
t5;1;0.924
t0;2;0.924
t1;2;0.918
t2;2;0.913
t3;2;0.909
t4;2;0.904
t5;2;0.898
t0;3;0.898
t1;3;0.893
t2;3;0.889
t3;3;0.884
t4;3;0.88
t5;3;0.877
t0;4;0.876
t1;4;0.873
t2;4;0.87
t3;4;0.866
t4;4;0.863
t5;4;0.86
t0;5;0.86
t1;5;0.856
t2;5;0.852
t3;5;0.849
t4;5;0.845
t5;5;0.842
