time;series;mass
t0;1;1.293
t1;1;1.277
t2;1;1.257
t3;1;1.241
t4;1;1.225
t5;1;1.211
t0;2;1.21
t1;2;1.196
t2;2;1.181
t3;2;1.166
t4;2;1.151
t5;2;1.136
t0;3;1.135
t1;3;1.122
t2;3;1.108
t3;3;1.097
t4;3;1.086
t5;3;1.075
t0;4;1.074
t1;4;1.064
t2;4;1.053
t3;4;1.038
t4;4;1.025
t5;4;1.013
t0;5;1.01
t1;5;0.998
t2;5;0.986
t3;5;0.978
t4;5;0.965
t5;5;0.953
